LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,STATUS,CLASSTYPE,ORDER_OBS,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,VersionFirstReleased,LHCForms,FormalName
12186-3,"Colloid oncotic pressure",PPres,Pt,Plas,Qn,,CHEM,2.70,ACTIVE,1,Both,,"mm Hg","Colloid oncotic pressure [Partial pressure] in Plasma",mm[Hg],1.0j-a,false,"Colloid oncotic pressure:PPres:Pt:Plas:Qn:"
57229-7,"Status of most problematic pressure injury",Find,Pt,^Patient,Ord,"CMS Assessment",SURVEY.CMS,2.63,ACTIVE,4,Observation,,,"Status of most problematic pressure injury [CMS Assessment]",,2.29,false,"Status of most problematic pressure injury:Find:Pt:^Patient:Ord:CMS Assessment"
46542-7,"Status of most problematic pressure injury",Find,Pt,^Patient,Ord,OASIS,SURVEY.OASIS,2.64,ACTIVE,4,,"Copyright © 2002 Center for Health Services Research, UCHSC, Denver, CO. Used with permission.",,"Status of most problematic pressure injury [OASIS]",,2.19,false,"Status of most problematic pressure injury:Find:Pt:^Patient:Ord:OASIS"
58186-8,"Pressure injury - addressed in care plan",Find,Pt,^Patient,Ord,MDSv3,SURVEY.MDS,2.64,ACTIVE,4,,,,"Pressure injury - addressed in care plan [MDSv3]",,2.29,false,"Pressure injury - addressed in care plan:Find:Pt:^Patient:Ord:MDSv3"
57221-4,"Pressure injury assessment was conducted",Find,Pt,^Patient,Ord,"CMS Assessment",SURVEY.CMS,2.63,ACTIVE,4,Observation,,,"Pressure injury assessment was conducted [CMS Assessment]",,2.29,false,"Pressure injury assessment was conducted:Find:Pt:^Patient:Ord:CMS Assessment"
54880-0,"Pressure injury risk by clinical judgment",Find,Pt,^Patient,Ord,MDSv3,SURVEY.MDS,2.64,ACTIVE,4,,,,"Pressure injury risk by clinical judgment [MDSv3]",,2.27,false,"Pressure injury risk by clinical judgment:Find:Pt:^Patient:Ord:MDSv3"
54879-2,"Pressure injury risk by formal assessment",Find,Pt,^Patient,Ord,MDSv3,SURVEY.MDS,2.64,ACTIVE,4,,,,"Pressure injury risk by formal assessment [MDSv3]",,2.27,false,"Pressure injury risk by formal assessment:Find:Pt:^Patient:Ord:MDSv3"
57231-3,"Stage of most problematic pressure injury",Find,Pt,^Patient,Ord,"CMS Assessment",SURVEY.CMS,2.67,ACTIVE,4,Observation,,,"Stage of most problematic pressure injury [CMS Assessment]",,2.29,false,"Stage of most problematic pressure injury:Find:Pt:^Patient:Ord:CMS Assessment"
46541-9,"Stage of most problematic pressure injury",Find,Pt,^Patient,Ord,OASIS,SURVEY.OASIS,2.64,ACTIVE,4,,"Copyright © 2002 Center for Health Services Research, UCHSC, Denver, CO. Used with permission.",,"Stage of most problematic pressure injury [OASIS]",,2.19,false,"Stage of most problematic pressure injury:Find:Pt:^Patient:Ord:OASIS"
83282-4,"Worsening in pressure injury status since admission",-,Pt,^Patient,-,"CMS Assessment",PANEL.SURVEY.CMS,2.63,ACTIVE,4,Subset,,,"Worsening in pressure injury status since admission [CMS Assessment]",,2.61,false,"Worsening in pressure injury status since admission:-:Pt:^Patient:-:CMS Assessment"
54576-4,"Pressure injuries - stage 2",-,Pt,^Patient,-,,PANEL.SURVEY.MDS,2.68,ACTIVE,4,,,,"Pressure injuries - stage 2",,2.27,false,"Pressure injuries - stage 2:-:Pt:^Patient:-:"
54577-2,"Pressure injuries - stage 3",-,Pt,^Patient,-,,PANEL.SURVEY.MDS,2.68,ACTIVE,4,,,,"Pressure injuries - stage 3",,2.27,false,"Pressure injuries - stage 3:-:Pt:^Patient:-:"
54952-7,"Worsening in pressure injury status since last assessment (OBRA, PPS, or Discharge)",-,Pt,^Patient,-,,PANEL.SURVEY.CMS,2.64,ACTIVE,4,Subset,,,"Worsening in pressure injury status since last assessment (OBRA, PPS, or Discharge)",,2.27,false,"Worsening in pressure injury status since last assessment (OBRA, PPS, or Discharge):-:Pt:^Patient:-:"
76537-0,"Cuff pressure.mean",Pres,Pt,"Blood pressure device",Qn,,DEVICES,2.54,ACTIVE,2,Observation,,"cm H2O","Blood pressure device Cuff pressure.mean",cm[H2O],2.54,false,"Cuff pressure.mean:Pres:Pt:Blood pressure device:Qn:"
86903-2,"Tissue type",Type,Pt,"Pressure injury.most advanced stage",Nom,"CMS Assessment",SURVEY.CMS,2.63,ACTIVE,4,Observation,,,"Tissue type Pressure injury.most advanced stage [CMS Assessment]",,2.63,false,"Tissue type:Type:Pt:Pressure injury.most advanced stage:Nom:CMS Assessment"
76260-9,"Expiratory pressure",Pres,Pt,"Respiratory system.airway",Qn,,PULM,2.69,ACTIVE,2,Observation,,"cm H2O","Expiratory pressure Respiratory system airway",cm[H2O],2.63,false,"Expiratory pressure:Pres:Pt:Respiratory system.airway:Qn:"
46460-2,"Number of pressure injuries at each stage",-,Pt,^Patient,-,,SURVEY.OASIS,2.64,ACTIVE,4,,"Copyright © 2002 Center for Health Services Research, UCHSC, Denver, CO. Used with permission.",,"Number of pressure injuries at each stage",,2.19,false,"Number of pressure injuries at each stage:-:Pt:^Patient:-:"
20079-0,"Pressure.support setting",Pres,Pt,Ventilator,Qn,,PULM,2.48,ACTIVE,2,,,"cm H2O","Pressure support setting Ventilator",cm[H2O],1.0l,false,"Pressure.support setting:Pres:Pt:Ventilator:Qn:"
60995-8,"Intravascular systolic",Pres,Pt,"Pulmonary artery.wedge",Qn,,BP.CENT.MOLEC,2.70,ACTIVE,2,Both,,"mm Hg","Pulmonary artery wedge Systolic blood pressure",mm[Hg],2.58,false,"Intravascular systolic:Pres:Pt:Pulmonary artery.wedge:Qn:"
96608-5,"Intravascular systolic",Pres,XXX^mean,"Arterial system",Qn,,BP.MOLEC,2.69,ACTIVE,2,Observation,,"mm Hg","Systolic blood pressure unspecified time mean",mm[Hg],2.69,false,"Intravascular systolic:Pres:XXX^mean:Arterial system:Qn:"
57222-2,"Oldest non-epithelialized stage 2 pressure injury present at discharge",Find,Pt,^Patient,Nom,"CMS Assessment",SURVEY.CMS,2.63,ACTIVE,4,Observation,,,"Oldest non-epithelialized stage 2 pressure injury present at discharge [CMS Assessment]",,2.29,false,"Oldest non-epithelialized stage 2 pressure injury present at discharge:Find:Pt:^Patient:Nom:CMS Assessment"
57275-0,"Plan of care includes pressure injury treatment - moist healing",Find,Pt,^Patient,Ord,"CMS Assessment",SURVEY.CMS,2.63,ACTIVE,4,Observation,,,"Plan of care includes pressure injury treatment - moist healing [CMS Assessment]",,2.29,false,"Plan of care includes pressure injury treatment - moist healing:Find:Pt:^Patient:Ord:CMS Assessment"
57188-5,"Stage 3 or 4 pressure injury with largest surface dimensions",-,Pt,^Patient,-,,PANEL.SURVEY.OASIS,2.68,ACTIVE,4,,,,"Stage 3 or 4 pressure injury with largest surface dimensions",,2.29,false,"Stage 3 or 4 pressure injury with largest surface dimensions:-:Pt:^Patient:-:"
76505-7,"Highest pressure ulcer stage",Find,Pt,^Patient,Nom,NPUAP,H&P.HX,2.52,ACTIVE,2,Both,,,"Highest pressure ulcer stage NPUAP",,2.52,false,"Highest pressure ulcer stage:Find:Pt:^Patient:Nom:NPUAP"
54956-8,"Healed pressure injuries",-,Pt,^Patient,-,"CMS Assessment",PANEL.SURVEY.CMS,2.63,ACTIVE,4,Subset,,,"Healed pressure injuries [CMS Assessment]",,2.27,false,"Healed pressure injuries:-:Pt:^Patient:-:CMS Assessment"
54579-8,"Pressure injuries - unstageable due to non-removable dressing",-,Pt,^Patient,-,,PANEL.SURVEY.MDS,2.68,ACTIVE,4,,,,"Pressure injuries - unstageable due to non-removable dressing",,2.27,false,"Pressure injuries - unstageable due to non-removable dressing:-:Pt:^Patient:-:"
57227-1,"Pressure ulcer width",Num,Pt,^Patient,Qn,OASIS-C,SURVEY.OASIS,2.36,DEPRECATED,4,,,,"Deprecated Pressure ulcer width OASIS-C",,2.29,false,"Pressure ulcer width:Num:Pt:^Patient:Qn:OASIS-C"
54882-6,"Risk of developing pressure injuries",Find,Pt,^Patient,Ord,MDSv3,SURVEY.MDS,2.64,ACTIVE,4,,,,"Risk of developing pressure injuries [MDSv3]",,2.27,false,"Risk of developing pressure injuries:Find:Pt:^Patient:Ord:MDSv3"
57184-4,"Risk of developing pressure injuries",Find,Pt,^Patient,Ord,OASIS,SURVEY.OASIS,2.64,ACTIVE,4,,,,"Risk of developing pressure injuries [OASIS]",,2.29,false,"Risk of developing pressure injuries:Find:Pt:^Patient:Ord:OASIS"
54885-9,"One or more unhealed pressure ulcer(s) at Stage 2 or higher, or one or more likely pressure ulcers that are unstageable",Find,Pt,^Patient,Ord,MDSv3,SURVEY.MDS,2.36,DEPRECATED,4,,,,"Deprecated One or more unhealed pressure ulcer(s) at Stage 2 or higher, or one or more likely pressure ulcers that are unstageable MDSv3",,2.27,false,"One or more unhealed pressure ulcer(s) at Stage 2 or higher, or one or more likely pressure ulcers that are unstageable:Find:Pt:^Patient:Ord:MDSv3"
60994-1,"Intravascular diastolic",Pres,Pt,"Pulmonary artery.wedge",Qn,,BP.CENT.MOLEC,2.70,ACTIVE,2,Both,,"mm Hg","Pulmonary artery wedge Diastolic blood pressure",mm[Hg],2.58,false,"Intravascular diastolic:Pres:Pt:Pulmonary artery.wedge:Qn:"
96609-3,"Intravascular diastolic",Pres,XXX^mean,"Arterial system",Qn,,BP.MOLEC,2.69,ACTIVE,2,Observation,,"mm Hg","Diastolic blood pressure unspecified time mean",mm[Hg],2.69,false,"Intravascular diastolic:Pres:XXX^mean:Arterial system:Qn:"
20061-8,"Pressure.airway^on ventilator.pressure targeted control",Pres,Pt,"Respiratory system.airway",Qn,"Airway pressure monitor",PULM,2.48,ACTIVE,2,,,"cm H2O","Airway pressure by Airway pressure monitor --on ventilator.pressure targeted control",cm[H2O],1.0l,false,"Pressure.airway^on ventilator.pressure targeted control:Pres:Pt:Respiratory system.airway:Qn:Airway pressure monitor"
57307-1,"Unhealed pressure injury at Stage 2 or higher or designated as unstageable",Find,Pt,^Patient,Nom,OASIS-C,SURVEY.OASIS,2.64,ACTIVE,4,,,,"Unhealed pressure injury at stage 2 or higher or designated as unstageable [OASIS-C]",,2.29,false,"Unhealed pressure injury at Stage 2 or higher or designated as unstageable:Find:Pt:^Patient:Nom:OASIS-C"
86268-0,"Worsening in pressure injury status since start or resumption of home care",-,Pt,^Patient,-,"CMS Assessment",PANEL.SURVEY.CMS,2.63,ACTIVE,4,Subset,,,"Worsening in pressure injury status since start or resumption of home care [CMS Assessment]",,2.63,false,"Worsening in pressure injury status since start or resumption of home care:-:Pt:^Patient:-:CMS Assessment"
8357-6,"Blood pressure method",Type,Pt,^Patient,Nom,*,BP.ATOM,2.66,ACTIVE,2,,,,"Blood pressure method",,1.0h(2),false,"Blood pressure method:Type:Pt:^Patient:Nom:*"
54575-6,"Current number of unhealed (non-epithelialized) pressure injuries at each stage",-,Pt,^Patient,-,,PANEL.SURVEY.MDS,2.68,ACTIVE,4,,,,"Current number of unhealed (non-epithelialized) pressure injuries at each stage",,2.27,false,"Current number of unhealed (non-epithelialized) pressure injuries at each stage:-:Pt:^Patient:-:"
83258-4,"IRF-PAI - Healed pressure injuries",-,Pt,^Patient,-,"CMS Assessment",PANEL.SURVEY.CMS,2.63,ACTIVE,4,Subset,,,"IRF-PAI - Healed pressure injuries [CMS Assessment]",,2.61,false,"IRF-PAI - Healed pressure injuries:-:Pt:^Patient:-:CMS Assessment"
73783-3,"Neonatal pressure ulcer risk total score",Score,Pt,^Patient,Qn,NSRAS,SURVEY.NSRAS,2.50,ACTIVE,4,Observation,"Copyright © 1997 Barbara Huffines. Used with permission.",score,"Neonatal pressure ulcer risk total score [NSRAS]",{score},2.44,false,"Neonatal pressure ulcer risk total score:Score:Pt:^Patient:Qn:NSRAS"
57186-9,"Number of pressure injuries at each stage",-,Pt,^Patient,Set,,PANEL.SURVEY.OASIS,2.68,ACTIVE,4,,,,"Number of pressure injuries at each stage Set",,2.29,false,"Number of pressure injuries at each stage:-:Pt:^Patient:Set:"
57187-7,"Number of pressure injuries present at admission",-,Pt,^Patient,Set,,PANEL.SURVEY.OASIS,2.68,ACTIVE,4,,,,"Number of pressure injuries present at admission Set",,2.29,false,"Number of pressure injuries present at admission:-:Pt:^Patient:Set:"
55089-7,"Pressure injuries - unstageable due to coverage of wound bed by slough &or eschar",-,Pt,^Patient,-,,PANEL.SURVEY.MDS,2.68,ACTIVE,4,,,,"Pressure injuries - unstageable due to coverage of wound bed by slough/eschar",,2.27,false,"Pressure injuries - unstageable due to coverage of wound bed by slough &or eschar:-:Pt:^Patient:-:"
55088-9,"Pressure injuries - unstageable with suspected deep tissue injury in evolution",-,Pt,^Patient,-,,PANEL.SURVEY.MDS,2.68,ACTIVE,4,,,,"Pressure injuries - unstageable with suspected deep tissue injury in evolution",,2.27,false,"Pressure injuries - unstageable with suspected deep tissue injury in evolution:-:Pt:^Patient:-:"
57280-0,"Risk of developing pressure injuries",Find,Pt,^Patient,Ord,"CMS Assessment",SURVEY.CMS,2.63,ACTIVE,4,Observation,,,"Risk of developing pressure injuries [CMS Assessment]",,2.29,false,"Risk of developing pressure injuries:Find:Pt:^Patient:Ord:CMS Assessment"
8488-9,"Intravascular systolic",Pres,10H^mean,"Arterial system",Qn,,BP.TIMED.MOLEC,2.40,ACTIVE,2,,,"mm Hg","Systolic blood pressure 10 hour mean",mm[Hg],1.0h(3),false,"Intravascular systolic:Pres:10H^mean:Arterial system:Qn:"
8489-7,"Intravascular systolic",Pres,12H^mean,"Arterial system",Qn,,BP.TIMED.MOLEC,2.40,ACTIVE,2,,,"mm Hg","Systolic blood pressure 12 hour mean",mm[Hg],1.0h(3),false,"Intravascular systolic:Pres:12H^mean:Arterial system:Qn:"
8490-5,"Intravascular systolic",Pres,24H^mean,"Arterial system",Qn,,BP.TIMED.MOLEC,2.40,ACTIVE,2,,,"mm Hg","Systolic blood pressure 24 hour mean",mm[Hg],1.0h(3),false,"Intravascular systolic:Pres:24H^mean:Arterial system:Qn:"
8487-1,"Intravascular systolic",Pres,8H^mean,"Arterial system",Qn,,BP.TIMED.MOLEC,2.40,ACTIVE,2,,,"mm Hg","Systolic blood pressure 8 hour mean",mm[Hg],1.0h(3),false,"Intravascular systolic:Pres:8H^mean:Arterial system:Qn:"
85918-1,"Unhealed pressure injury at stage 2 or higher or designated as unstageable",Find,Pt,^Patient,Ord,"CMS Assessment",SURVEY.CMS,2.64,ACTIVE,4,Observation,,,"Unhealed pressure injury at stage 2 or higher or designated as unstageable [CMS Assessment]",,2.63,false,"Unhealed pressure injury at stage 2 or higher or designated as unstageable:Find:Pt:^Patient:Ord:CMS Assessment"
99717-1,"Access pressure",Pres,Pt,"Renal replacement therapy circuit",Qn,,CLIN,2.72,ACTIVE,2,Observation,,"mm Hg","Access pressure Renal replacement therapy circuit",mm[Hg],2.72,false,"Access pressure:Pres:Pt:Renal replacement therapy circuit:Qn:"
99718-9,"Effluent pressure",Pres,Pt,"Renal replacement therapy circuit",Qn,,CLIN,2.72,ACTIVE,2,Observation,,"mm Hg","Effluent pressure Renal replacement therapy circuit",mm[Hg],2.72,false,"Effluent pressure:Pres:Pt:Renal replacement therapy circuit:Qn:"
99719-7,"Filter pressure",Pres,Pt,"Renal replacement therapy circuit",Qn,,CLIN,2.72,ACTIVE,2,Observation,,"mm Hg","Filter pressure Renal replacement therapy circuit",mm[Hg],2.72,false,"Filter pressure:Pres:Pt:Renal replacement therapy circuit:Qn:"
80345-2,"Pressure points examined",Anat,Pt,Skin,Nom,,H&P.PX,2.54,ACTIVE,2,Observation,,,"Pressure points examined [Anatomy] of Skin",,2.54,false,"Pressure points examined:Anat:Pt:Skin:Nom:"
99721-3,"Return pressure",Pres,Pt,"Renal replacement therapy circuit",Qn,,CLIN,2.72,ACTIVE,2,Observation,,"mm Hg","Return pressure Renal replacement therapy circuit",mm[Hg],2.72,false,"Return pressure:Pres:Pt:Renal replacement therapy circuit:Qn:"
99720-5,"Transmembrane pressure",Pres,Pt,"Renal replacement therapy circuit",Qn,,CLIN,2.72,ACTIVE,2,Observation,,"mm Hg","Transmembrane pressure Renal replacement therapy circuit",mm[Hg],2.72,false,"Transmembrane pressure:Pres:Pt:Renal replacement therapy circuit:Qn:"
54883-4,"Date of most recent routine pressure ulcer assessment",TmStp,Pt,^Patient,Qn,MDSv3,SURVEY.MDS,2.36,DEPRECATED,4,,,,"Deprecated Date of most recent routine pressure ulcer assessment MDSv3",,2.27,false,"Date of most recent routine pressure ulcer assessment:TmStp:Pt:^Patient:Qn:MDSv3"
57228-9,Depth,Len,Pt,"Pressure injury.largest stage 3 or 4",Qn,"CMS Assessment",SURVEY.CMS,2.63,ACTIVE,4,Observation,,cm,"Depth Pressure injury.largest stage 3 or 4 [CMS Assessment]",cm,2.29,false,"Depth:Len:Pt:Pressure injury.largest stage 3 or 4:Qn:CMS Assessment"
86901-6,Length,Len,Pt,"Pressure injury.largest stage 3 or 4",Qn,"CMS Assessment",SURVEY.CMS,2.63,ACTIVE,4,Observation,,cm,"Length Pressure injury.largest stage 3 or 4 [CMS Assessment]",cm,2.63,false,"Length:Len:Pt:Pressure injury.largest stage 3 or 4:Qn:CMS Assessment"
75994-4,Intravascular,Pres,Pt,"Pulmonary artery.wedge",Qn,,BP.CENT.MOLEC,2.54,ACTIVE,2,Both,,"mm Hg","Pulmonary artery wedge pressure",mm[Hg],2.54,false,"Intravascular:Pres:Pt:Pulmonary artery.wedge:Qn:"
8480-6,"Intravascular systolic",Pres,Pt,"Arterial system",Qn,,BP.ATOM,2.70,ACTIVE,2,,,"mm Hg","Systolic blood pressure",mm[Hg],1.0h(3),false,"Intravascular systolic:Pres:Pt:Arterial system:Qn:"
54884-2,"Number of pressure injuries - stage 1",Num,Pt,^Patient,Qn,"CMS Assessment",SURVEY.CMS,2.63,ACTIVE,4,Observation,,#,"Number of pressure injuries - stage 1 [CMS Assessment]",{#},2.27,false,"Number of pressure injuries - stage 1:Num:Pt:^Patient:Qn:CMS Assessment"
55124-2,"Number of pressure injuries - stage 2",Num,Pt,^Patient,Qn,"CMS Assessment",SURVEY.CMS,2.63,ACTIVE,4,Observation,,#,"Number of pressure injuries - stage 2 [CMS Assessment]",{#},2.27,false,"Number of pressure injuries - stage 2:Num:Pt:^Patient:Qn:CMS Assessment"
55125-9,"Number of pressure injuries - stage 3",Num,Pt,^Patient,Qn,"CMS Assessment",SURVEY.CMS,2.63,ACTIVE,4,Observation,,#,"Number of pressure injuries - stage 3 [CMS Assessment]",{#},2.27,false,"Number of pressure injuries - stage 3:Num:Pt:^Patient:Qn:CMS Assessment"
55126-7,"Number of pressure injuries - stage 4",Num,Pt,^Patient,Qn,"CMS Assessment",SURVEY.CMS,2.63,ACTIVE,4,Observation,,#,"Number of pressure injuries - stage 4 [CMS Assessment]",{#},2.27,false,"Number of pressure injuries - stage 4:Num:Pt:^Patient:Qn:CMS Assessment"
55087-1,"Number of pressure injuries noted on prior assessment that have completely closed",-,Pt,^Patient,-,,PANEL.SURVEY.MDS,2.70,DEPRECATED,4,,,,"Deprecated Number of pressure injuries noted on prior assessment that have completely closed",,2.27,false,"Number of pressure injuries noted on prior assessment that have completely closed:-:Pt:^Patient:-:"
54957-6,"Pressure injuries were present on the prior assessment",Find,Pt,^Patient,Ord,"CMS Assessment",SURVEY.CMS,2.63,ACTIVE,4,Observation,,,"Pressure injuries were present on the prior assessment [CMS Assessment]",,2.27,false,"Pressure injuries were present on the prior assessment:Find:Pt:^Patient:Ord:CMS Assessment"
90982-0,"Pressure Ulcer Scale for Healing Tool 3.0",-,Pt,^Patient,-,PUSH,PANEL.SURVEY.GNHLTH,2.65,ACTIVE,4,Order,"Copyright © 1998 National Pressure Ulcer Advisory Panel Used with permission. It is understood that the name of the instrument and the indication that the copyright belongs to the National Pressure Ulcer Advisory Panel remain on any copies and that you do not make any changes to the wording or scoring of this tool.",,"Pressure Ulcer Scale for Healing (PUSH) Tool 3.0 [PUSH]",,2.65,true,"Pressure Ulcer Scale for Healing Tool 3.0:-:Pt:^Patient:-:PUSH"
55073-1,"Tissue type",Type,Pt,"Pressure injury.Largest at most advanced stage",Nom,"CMS Assessment",SURVEY.CMS,2.63,ACTIVE,4,Observation,,,"Tissue type Pressure injury.Largest at most advanced stage [CMS Assessment]",,2.27,false,"Tissue type:Type:Pt:Pressure injury.Largest at most advanced stage:Nom:CMS Assessment"
86902-4,Width,Len,Pt,"Pressure injury.largest stage 3 or 4",Qn,"CMS Assessment",SURVEY.CMS,2.63,ACTIVE,4,Observation,,cm,"Width Pressure injury.largest stage 3 or 4 [CMS Assessment]",cm,2.63,false,"Width:Len:Pt:Pressure injury.largest stage 3 or 4:Qn:CMS Assessment"
8471-5,"Intravascular diastolic",Pres,12H^mean,"Arterial system",Qn,,BP.TIMED.MOLEC,2.40,ACTIVE,2,,,"mm Hg","Diastolic blood pressure 12 hour mean",mm[Hg],1.0h(2),false,"Intravascular diastolic:Pres:12H^mean:Arterial system:Qn:"
8468-1,"Intravascular diastolic",Pres,1H^mean,"Arterial system",Qn,,BP.TIMED.MOLEC,2.40,ACTIVE,2,,,"mm Hg","Diastolic blood pressure 1 hour mean",mm[Hg],1.0h(2),false,"Intravascular diastolic:Pres:1H^mean:Arterial system:Qn:"
8472-3,"Intravascular diastolic",Pres,24H^mean,"Arterial system",Qn,,BP.TIMED.MOLEC,2.40,ACTIVE,2,,,"mm Hg","Diastolic blood pressure 24 hour mean",mm[Hg],1.0h(2),false,"Intravascular diastolic:Pres:24H^mean:Arterial system:Qn:"
8469-9,"Intravascular diastolic",Pres,8H^mean,"Arterial system",Qn,,BP.TIMED.MOLEC,2.40,ACTIVE,2,,,"mm Hg","Diastolic blood pressure 8 hour mean",mm[Hg],1.0h(2),false,"Intravascular diastolic:Pres:8H^mean:Arterial system:Qn:"
8470-7,"Intravascular diastolic",Pres,10H^mean,"Arterial system",Qn,,BP.TIMED.MOLEC,2.40,ACTIVE,2,,,"mm Hg","Diastolic blood pressure 10 hour mean",mm[Hg],1.0h(2),false,"Intravascular diastolic:Pres:10H^mean:Arterial system:Qn:"
8486-3,"Intravascular systolic",Pres,1H^mean,"Arterial system",Qn,,BP.TIMED.MOLEC,2.40,ACTIVE,2,,,"mm Hg","Systolic blood pressure 1 hour mean",mm[Hg],1.0h(3),false,"Intravascular systolic:Pres:1H^mean:Arterial system:Qn:"
