loinc_num,long_common_name,component,system,property,1,0
14423-8,Bilirubin.total [Mass/volume] in Synovial fluid,Bilirubin,Synv fld,MCnc,1,0
1742-6,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma,Alanine aminotransferase,Ser/Plas,CCnc,1,0
14764-5,Glucose [Moles/volume] in Serum or Plasma --3 hours post 100 g glucose PO,Glucose^3H post 100 g glucose PO,Ser/Plas,SCnc,1,0
1994-3,Calcium.ionized [Moles/volume] in Blood,Calcium.ionized,Bld,SCnc,1,0
1751-7,Albumin [Mass/volume] in Serum or Plasma,Albumin,Ser/Plas,MCnc,1,0
1003-3,Indirect antiglobulin test.complement specific reagent [Presence] in Serum or Plasma,Indirect antiglobulin test.complement specific reagent,Ser/Plas,ACnc,1,0
1971-1,Bilirubin.indirect [Mass/volume] in Serum or Plasma,Bilirubin.non-glucuronidated,Ser/Plas,MCnc,1,0
26484-6,Monocytes [#/volume] in Blood,Monocytes,Bld,NCnc,1,0
18865-6,Ampicillin+Sulbactam [Susceptibility],Ampicillin+Sulbactam,Isolate,Susc,1,0
882-1,ABO & Rh group [Type] in Blood,ABO+Rh group,Bld,Type,1,0
1250-0,Major crossmatch [interpretation],Major crossmatch,Ser/Plas,Imp,1,0
883-9,ABO group [Type] in Blood,ABO group,Bld,Type,1,0
2132-9,Cobalamin (Vitamin B12) [Mass/volume] in Serum,Cobalamins,Ser,MCnc,1,0
31100-1,Hematocrit [Volume Fraction] of Blood by Impedance,Hematocrit,Bld,VFr,1,0
6768-6,Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma,Alkaline phosphatase,Ser/Plas,CCnc,1,0
2069-3,Chloride [Moles/volume] in Blood,Chloride,Bld,SCnc,1,0
3082-5,Tyrosine aminotransferase [Mass/volume] in Plasma,Tyrosine aminotransferase,Plas,MCnc,1,0
30522-7,C reactive protein [Mass/volume] in Serum or Plasma by High sensitivity method,C reactive protein,Ser/Plas,MCnc,1,0
33870-7,Bilirubin.total [Presence] in Unspecified specimen,Bilirubin,XXX,PrThr,1,0
20442-0,Hepatitis B virus DNA [#/volume] (viral load) in Serum by Probe with signal amplification,Hepatitis B virus DNA,Ser,NCnc,1,0
2111-3,Choriogonadotropin.beta subunit [Moles/volume] in Serum or Plasma,Choriogonadotropin.beta subunit,Ser/Plas,SCnc,1,0
14578-9,ABO group [Type] in Blood from Blood product unit,ABO group,Bld^BPU,Type,1,0
18955-5,Nitrofurantoin [Susceptibility],Nitrofurantoin,Isolate,Susc,1,0
2039-6,Carcinoembryonic Ag [Mass/volume] in Serum or Plasma,Carcinoembryonic Ag,Ser/Plas,MCnc,1,0
933-2,Blood product type,Blood product type,^BPU,Type,1,0
19000-9,Vancomycin [Susceptibility],Vancomycin,Isolate,Susc,1,0
26478-8,Lymphocytes/100 leukocytes in Blood,Lymphocytes/100 leukocytes,Bld,NFr,1,0
19080-1,Choriogonadotropin [Units/volume] in Serum or Plasma,Choriogonadotropin,Ser/Plas,ACnc,1,0
1995-0,Calcium.ionized [Moles/volume] in Serum or Plasma,Calcium.ionized,Ser/Plas,SCnc,1,0
35184-1,Fasting glucose [Mass or Moles/volume] in Serum or Plasma,Glucose^post CFst,Ser/Plas,MSCnc,1,0
2085-9,Cholesterol in HDL [Mass/volume] in Serum or Plasma,Cholesterol.in HDL,Ser/Plas,MCnc,1,0
1759-0,Albumin/Globulin [Mass ratio] in Serum or Plasma,Albumin/Globulin,Ser/Plas,MCrto,1,0
2028-9,"Carbon dioxide, total [Moles/volume] in Serum or Plasma",Carbon dioxide,Ser/Plas,SCnc,1,0
35192-4,Bilirubin.indirect [Mass or Moles/volume] in Serum or Plasma,Bilirubin.non-glucuronidated,Ser/Plas,MSCnc,1,0
20629-2,Levofloxacin [Susceptibility],Levofloxacin,Isolate,Susc,1,0
17861-6,Calcium [Mass/volume] in Serum or Plasma,Calcium,Ser/Plas,MCnc,1,0
54439-5,Calcium bilirubinate/Total in Stone,Calcium bilirubinate/Total,Calculus,MFr,1,0
18878-9,Cefazolin [Susceptibility],Cefazolin,Isolate,Susc,1,0
18928-2,Gentamicin [Susceptibility],Gentamicin,Isolate,Susc,1,0
29265-6,Calcium [Moles/volume] corrected for albumin in Serum or Plasma,Calcium^^corrected for albumin,Ser/Plas,SCnc,1,0
23658-8,Other Antibiotic [Susceptibility],Antibiotic XXX,Isolate,Susc,1,0
71664-7,"""Smudge cells/Leukocytes [Pure number fraction] in Blood by Manual count""","""Smudge cells/leukocytes""",NFr.DF,NFr.DF,1,1
51384-6,"""Mononuclear cells/100 leukocytes in Blood by Manual count""","""Mononuclear cells/100 leukocytes""",NFr,NFr,1,1
79426-3,"""Plasma cells/100 leukocytes in Blood by Manual count""","""Plasma cells/100 leukocytes""",NFr,NFr,1,1
33857-4,"""Sezary cells/100 leukocytes in Blood by Manual count""","""Sezary cells/100 leukocytes""",NFr,NFr,1,1
14912-0,"""Smudge cells/100 leukocytes in Blood by Manual count""","""Smudge cells/100 leukocytes""",NFr,NFr,1,1
44095-8,"""Unidentified cells/100 leukocytes in Blood by Manual count""","""Unidentified cells/100 leukocytes""",NFr,NFr,1,1
24106-7,"""Hairy cells/100 leukocytes in Blood by Manual count""","""Hairy cells/100 leukocytes""",NFr,NFr,1,1
24104-2,"""Lymphoma cells/100 leukocytes in Blood by Manual count""","""Lymphoma cells/100 leukocytes""",NFr,NFr,1,1
33837-6,"""Malignant cells/100 leukocytes in Blood by Manual count""","""Malignant cells/100 leukocytes""",NFr,NFr,1,1
58409-4,"""Other cells/100 leukocytes in Blood by Automated count""","""Other cells/100 leukocytes""",NFr,NFr,1,1
51586-6,"""Other cells/100 leukocytes in Blood by Manual count""","""Other cells/100 leukocytes""",NFr,NFr,1,1
55377-6,"""Mononuclear cells immature/100 leukocytes in Blood by Manual count""","""Mononuclear cells.immature/100 leukocytes""",NFr,NFr,1,1
69003-2,"""Mononuclear cells atypical/100 leukocytes in Blood by Manual count""","""Mononuclear cells.atypical/100 leukocytes""",NFr,NFr,1,1
44096-6,"""Unidentified cells/100 leukocytes in Blood by Automated count""","""Unidentified cells/100 leukocytes""",NFr,NFr,1,1
14384-2,"""Mononuclear cells/100 leukocytes in Urine sediment by Manual count""","""Mononuclear cells/100 leukocytes""",NFr,NFr,1,1
40650-4,"""Mesothelial cells/100 leukocytes in Blood by Manual count""","""Mesothelial cells/100 leukocytes""",NFr,NFr,1,1
31160-5,"""Polymorphonuclear cells/100 leukocytes in Blood by Manual count""","""Polymorphonuclear cells/100 leukocytes""",NFr,NFr,1,1
51927-2,"""Other cells/100 leukocytes in Bronchial specimen by Manual count""","""Other cells/100 leukocytes""",NFr,NFr,1,1
91551-2,"""Other cells/100 leukocytes in Dialysis fluid by Manual count""","""Other cells/100 leukocytes""",NFr,NFr,1,1
75356-6,"""Other cells/100 leukocytes in Pleural fluid by Manual count""","""Other cells/100 leukocytes""",NFr,NFr,1,1
75375-6,"""Other cells/100 leukocytes in Sputum by Manual count""","""Other cells/100 leukocytes""",NFr,NFr,1,1
74814-5,"""Plasma cells.centroblasts/100 leukocytes in Blood by Manual count""","""Plasma cells.centroblasts/100 leukocytes""",NFr,NFr,1,1
74820-2,"""Plasma cells.centrocytes/100 leukocytes in Blood by Manual count""","""Plasma cells.centrocytes/100 leukocytes""",NFr,NFr,1,1
71629-0,"""Mononuclear cells/Leukocytes [Pure number fraction] in Peritoneal fluid by Manual count""","""Mononuclear cells/leukocytes""",NFr.DF,NFr.DF,1,1
71610-0,"""Mononuclear cells/Leukocytes [Pure number fraction] in Pleural fluid by Manual count""","""Mononuclear cells/leukocytes""",NFr.DF,NFr.DF,1,1
14378-4,"""Polymorphonuclear cells/100 leukocytes in Urine by Manual count""","""Polymorphonuclear cells/100 leukocytes""",NFr,NFr,1,1
95223-4,"""Mononuclear cells/100 leukocytes in Stem cell product by Manual count""","""Mononuclear cells/100 leukocytes""",NFr,NFr,1,1
70038-5,"""Mononuclear cells/100 leukocytes in Peritoneal fluid by Automated count""","""Mononuclear cells/100 leukocytes""",NFr,NFr,1,1
14383-4,"""Mononuclear cells/100 leukocytes in Semen by Manual count""","""Mononuclear cells/100 leukocytes""",NFr,NFr,1,1
12236-6,"""Mononuclear cells/100 leukocytes in Cerebral spinal fluid by Manual count""","""Mononuclear cells/100 leukocytes""",NFr,NFr,1,1
14385-9,"""Mononuclear cells/100 leukocytes in Gastric fluid by Manual count""","""Mononuclear cells/100 leukocytes""",NFr,NFr,1,1
70037-7,"""Mononuclear cells/100 leukocytes in Pericardial fluid by Automated count""","""Mononuclear cells/100 leukocytes""",NFr,NFr,1,1
14381-8,"""Mononuclear cells/100 leukocytes in Peritoneal fluid by Manual count""","""Mononuclear cells/100 leukocytes""",NFr,NFr,1,1
70066-6,"""Mononuclear cells/100 leukocytes in Pleural fluid by Automated count""","""Mononuclear cells/100 leukocytes""",NFr,NFr,1,1
14380-0,"""Mononuclear cells/100 leukocytes in Pleural fluid by Manual count""","""Mononuclear cells/100 leukocytes""",NFr,NFr,1,1
13525-1,"""Nonhematic cells/100 leukocytes in Cerebral spinal fluid by Manual count""","""Nonhematic cells/100 leukocytes""",NFr,NFr,1,1
40526-6,"""Plasma cells/100 leukocytes in Pericardial fluid by Manual count""","""Plasma cells/100 leukocytes""",NFr,NFr,1,1
40518-3,"""Plasma cells/100 leukocytes in Peritoneal fluid by Manual count""","""Plasma cells/100 leukocytes""",NFr,NFr,1,1
40522-5,"""Plasma cells/100 leukocytes in Pleural fluid by Manual count""","""Plasma cells/100 leukocytes""",NFr,NFr,1,1
74236-1,"""Unidentified cells/100 leukocytes in Pericardial fluid by Manual count""","""Unidentified cells/100 leukocytes""",NFr,NFr,1,1
71637-3,"""Unspecified cells/Leukocytes [Pure number fraction] in Body fluid by Manual count""","""Unspecified cells/leukocytes""",NFr.DF,NFr.DF,1,1
17788-1,"""Large unstained cells/100 leukocytes in Blood by Automated count""","""Large unstained cells/100 leukocytes""",NFr,NFr,1,1
74396-3,"""Large unstained cells/100 leukocytes in Cord blood by Automated count""","""Large unstained cells/100 leukocytes""",NFr,NFr,1,1
51648-4,"""Monocytoid cells/100 leukocytes in Cerebral spinal fluid by Manual count""","""Monocytoid cells/100 leukocytes""",NFr,NFr,1,1
55437-8,"""Neoplastic cells/100 leukocytes in Cerebral spinal fluid by Manual count""","""Neoplastic cells/100 leukocytes""",NFr,NFr,1,1
95227-5,"""Other cells/100 leukocytes in Stem cell product by Manual count""","""Other cells/100 leukocytes""",NFr,NFr,1,1
75353-3,"""Other cells/100 leukocytes in Body fluid by Manual count""","""Other cells/100 leukocytes""",NFr,NFr,1,1
75374-9,"""Other cells/100 leukocytes in Cerebral spinal fluid by Manual count""","""Other cells/100 leukocytes""",NFr,NFr,1,1
75352-5,"""Other cells/100 leukocytes in Pericardial fluid by Manual count""","""Other cells/100 leukocytes""",NFr,NFr,1,1
75350-9,"""Other cells/100 leukocytes in Peritoneal fluid by Manual count""","""Other cells/100 leukocytes""",NFr,NFr,1,1
13355-3,"""Unspecified cells/100 leukocytes in Body fluid by Manual count""","""Unspecified cells/100 leukocytes""",NFr,NFr,1,1
66133-0,"""Mononuclear cells atypical/100 leukocytes in Body fluid by Manual count""","""Mononuclear cells.atypical/100 leukocytes""",NFr,NFr,1,1
71619-1,"""Mononuclear cells/Leukocytes [Pure number fraction] in Synovial fluid by Manual count""","""Mononuclear cells/leukocytes""",NFr.DF,NFr.DF,1,1
71636-5,"""Plasma cells/Leukocytes [Pure number fraction] in Body fluid by Manual count""","""Plasma cells/leukocytes""",NFr.DF,NFr.DF,1,1
71652-2,"""Plasma cells/Leukocytes [Pure number fraction] in Cerebral spinal fluid by Manual count""","""Plasma cells/leukocytes""",NFr.DF,NFr.DF,1,1
71638-1,"""Unidentified cells/Leukocytes [Pure number fraction] in Body fluid by Manual count""","""Unidentified cells/leukocytes""",NFr.DF,NFr.DF,1,1
12233-3,"""Mesothelial cells/100 leukocytes in Cerebral spinal fluid by Manual count""","""Mesothelial cells/100 leukocytes""",NFr,NFr,1,1
51622-9,"""Mesothelial cells/100 leukocytes in Dialysis fluid by Manual count""","""Mesothelial cells/100 leukocytes""",NFr,NFr,1,1
14828-8,"""Mesothelial cells/100 leukocytes in Pericardial fluid by Manual count""","""Mesothelial cells/100 leukocytes""",NFr,NFr,1,1
14830-4,"""Mesothelial cells/100 leukocytes in Peritoneal fluid by Manual count""","""Mesothelial cells/100 leukocytes""",NFr,NFr,1,1
14829-6,"""Mesothelial cells/100 leukocytes in Pleural fluid by Manual count""","""Mesothelial cells/100 leukocytes""",NFr,NFr,1,1
68418-3,"""Mesothelial cells/100 leukocytes in Vitreous fluid by Manual count""","""Mesothelial cells/100 leukocytes""",NFr,NFr,1,1
71599-5,"""Mesothelial cells/Leukocytes [Pure number fraction] in Pericardial fluid by Manual count""","""Mesothelial cells/leukocytes""",NFr.DF,NFr.DF,1,1
71626-6,"""Mesothelial cells/Leukocytes [Pure number fraction] in Peritoneal fluid by Manual count""","""Mesothelial cells/leukocytes""",NFr.DF,NFr.DF,1,1
71607-6,"""Mesothelial cells/Leukocytes [Pure number fraction] in Pleural fluid by Manual count""","""Mesothelial cells/leukocytes""",NFr.DF,NFr.DF,1,1
14379-2,"""Polymorphonuclear cells/100 leukocytes in Gastric fluid by Manual count""","""Polymorphonuclear cells/100 leukocytes""",NFr,NFr,1,1
70036-9,"""Polymorphonuclear cells/100 leukocytes in Pericardial fluid by Automated count""","""Polymorphonuclear cells/100 leukocytes""",NFr,NFr,1,1
49966-5,"""Polymorphonuclear cells/100 leukocytes in Pericardial fluid by Manual count""","""Polymorphonuclear cells/100 leukocytes""",NFr,NFr,1,1
70039-3,"""Polymorphonuclear cells/100 leukocytes in Peritoneal fluid by Automated count""","""Polymorphonuclear cells/100 leukocytes""",NFr,NFr,1,1
LOINC_NUM,LONG_COMMON_NAME,COMPONENT,PROPERTY,PROPERTY,1,0
91150-3,"""Pressure injury stage NPUAP""","""Pressure injury stage""",Find,Find,1,0
54574-9,"""Presence of pressure injury""","""Presence of pressure injury""",-,-,1,0
79558-3,"""Fluid output pressure injury [Volume] Measured""","""Fluid output.pressure injury""",Vol,Vol,1,0
72527-5,"""Pressure ulcer stage NPUAP""","""Pressure ulcer stage""",Find,Find,1,0
54573-1,"""Determination of pressure injury risk""","""Determination of pressure injury risk""",-,-,1,0
75277-4,"""Number of pressure injuries""","""Number of pressure injuries""",Num,Num,1,0
58123-1,"""Date of Pressure injury.oldest non-epithelialized stage 2 [CMS Assessment]""","""Date of oldest stage 2 pressure injury""",Date,Date,1,0
46535-1,"CO.Used with permission.""","""Pressure injury""",Find,Find,1,0
86708-5,"""Determination of pressure injury risk in last 7 days [CMS Assessment]""","""Determination of pressure injury risk in last 7D""",Find,Find,1,0
58052-2,"""Date pressure injury.oldest non-epithelialized stage 2 first identified [CMS Assessment]""","""Date pressure injury first identified""",Date,Date,1,0
76532-1,"""Blood pressure device Cuff pressure""","""Cuff pressure""",Pres,Pres,1,0
58185-0,"""Pressure injury - care area triggered [MDSv3]""","""Pressure injury - care area triggered""",Find,Find,1,0
54881-8,"""Pressure injury risk - none of the above [MDSv3]""","""Pressure injury risk - none of the above""",Find,Find,1,0
46540-1,"CO.Used with permission.""","""Unobserved pressure injury""",Find,Find,1,0
35101-5,"""Intrathecal pressure""","""Intrathecal pressure""",Pres,Pres,1,0
54578-0,"""Pressure injuries - stage 4""","""Pressure injuries - stage 4""",-,-,1,0
12186-3,"""Colloid oncotic pressure [Partial pressure] in Plasma""","""Colloid oncotic pressure""",PPres,PPres,1,0
57229-7,"""Status of most problematic pressure injury [CMS Assessment]""","""Status of most problematic pressure injury""",Find,Find,1,0
46542-7,"CO.Used with permission.""","""Status of most problematic pressure injury""",Find,Find,1,0
58186-8,"""Pressure injury - addressed in care plan [MDSv3]""","""Pressure injury - addressed in care plan""",Find,Find,1,0
57221-4,"""Pressure injury assessment was conducted [CMS Assessment]""","""Pressure injury assessment was conducted""",Find,Find,1,0
54880-0,"""Pressure injury risk by clinical judgment [MDSv3]""","""Pressure injury risk by clinical judgment""",Find,Find,1,0
54879-2,"""Pressure injury risk by formal assessment [MDSv3]""","""Pressure injury risk by formal assessment""",Find,Find,1,0
57231-3,"""Stage of most problematic pressure injury [CMS Assessment]""","""Stage of most problematic pressure injury""",Find,Find,1,0
46541-9,"CO.Used with permission.""","""Stage of most problematic pressure injury""",Find,Find,1,0
83282-4,"""Worsening in pressure injury status since admission [CMS Assessment]""","""Worsening in pressure injury status since admission""",-,-,1,0
54576-4,"""Pressure injuries - stage 2""","""Pressure injuries - stage 2""",-,-,1,0
54577-2,"""Pressure injuries - stage 3""","""Pressure injuries - stage 3""",-,-,1,0
54952-7,,"""Worsening in pressure injury status since last assessment (OBRA","PPS,or Discharge)""","PPS,or Discharge)""",1,0
76537-0,"""Blood pressure device Cuff pressure.mean""","""Cuff pressure.mean""",Pres,Pres,1,0
86903-2,"""Tissue type Pressure injury.most advanced stage [CMS Assessment]""","""Tissue type""",Type,Type,1,0
76260-9,"""Expiratory pressure Respiratory system airway""","""Expiratory pressure""",Pres,Pres,1,0
46460-2,"CO.Used with permission.""","""Number of pressure injuries at each stage""",-,-,1,0
20079-0,"""Pressure support setting Ventilator""","""Pressure.support setting""",Pres,Pres,1,0
60995-8,"""Pulmonary artery wedge Systolic blood pressure""","""Intravascular systolic""",Pres,Pres,1,0
96608-5,"""Systolic blood pressure unspecified time mean""","""Intravascular systolic""",Pres,Pres,1,0
57222-2,"""Oldest non-epithelialized stage 2 pressure injury present at discharge [CMS Assessment]""","""Oldest non-epithelialized stage 2 pressure injury present at discharge""",Find,Find,1,0
57275-0,"""Plan of care includes pressure injury treatment - moist healing [CMS Assessment]""","""Plan of care includes pressure injury treatment - moist healing""",Find,Find,1,0
57188-5,"""Stage 3 or 4 pressure injury with largest surface dimensions""","""Stage 3 or 4 pressure injury with largest surface dimensions""",-,-,1,0
76505-7,"""Highest pressure ulcer stage NPUAP""","""Highest pressure ulcer stage""",Find,Find,1,0
54956-8,"""Healed pressure injuries [CMS Assessment]""","""Healed pressure injuries""",-,-,1,0
54579-8,"""Pressure injuries - unstageable due to non-removable dressing""","""Pressure injuries - unstageable due to non-removable dressing""",-,-,1,0
57227-1,"""Deprecated Pressure ulcer width OASIS-C""","""Pressure ulcer width""",Num,Num,1,0
54882-6,"""Risk of developing pressure injuries [MDSv3]""","""Risk of developing pressure injuries""",Find,Find,1,0
57184-4,"""Risk of developing pressure injuries [OASIS]""","""Risk of developing pressure injuries""",Find,Find,1,0
54885-9,,"""One or more unhealed pressure ulcer(s) at Stage 2 or higher","orone or more likely pressure ulcers that are unstageable""","orone or more likely pressure ulcers that are unstageable""",1,0
60994-1,"""Pulmonary artery wedge Diastolic blood pressure""","""Intravascular diastolic""",Pres,Pres,1,0
96609-3,"""Diastolic blood pressure unspecified time mean""","""Intravascular diastolic""",Pres,Pres,1,0
20061-8,"""Airway pressure by Airway pressure monitor --on ventilator.pressure targeted control""","""Pressure.airway^on ventilator.pressure targeted control""",Pres,Pres,1,0
57307-1,"""Unhealed pressure injury at stage 2 or higher or designated as unstageable [OASIS-C]""","""Unhealed pressure injury at Stage 2 or higher or designated as unstageable""",Find,Find,1,0
86268-0,"""Worsening in pressure injury status since start or resumption of home care [CMS Assessment]""","""Worsening in pressure injury status since start or resumption of home care""",-,-,1,0
8357-6,"""Blood pressure method""","""Blood pressure method""",Type,Type,1,0
54575-6,"""Current number of unhealed (non-epithelialized) pressure injuries at each stage""","""Current number of unhealed (non-epithelialized) pressure injuries at each stage""",-,-,1,0
83258-4,"""IRF-PAI - Healed pressure injuries [CMS Assessment]""","""IRF-PAI - Healed pressure injuries""",-,-,1,0
73783-3,"""Neonatal pressure ulcer risk total score [NSRAS]""","""Neonatal pressure ulcer risk total score""",Score,Score,1,0
57186-9,"""Number of pressure injuries at each stage Set""","""Number of pressure injuries at each stage""",-,-,1,0
57187-7,"""Number of pressure injuries present at admission Set""","""Number of pressure injuries present at admission""",-,-,1,0
55089-7,"""Pressure injuries - unstageable due to coverage of wound bed by slough/eschar""","""Pressure injuries - unstageable due to coverage of wound bed by slough &or eschar""",-,-,1,0
55088-9,"""Pressure injuries - unstageable with suspected deep tissue injury in evolution""","""Pressure injuries - unstageable with suspected deep tissue injury in evolution""",-,-,1,0
57280-0,"""Risk of developing pressure injuries [CMS Assessment]""","""Risk of developing pressure injuries""",Find,Find,1,0
8488-9,"""Systolic blood pressure 10 hour mean""","""Intravascular systolic""",Pres,Pres,1,0
8489-7,"""Systolic blood pressure 12 hour mean""","""Intravascular systolic""",Pres,Pres,1,0
8490-5,"""Systolic blood pressure 24 hour mean""","""Intravascular systolic""",Pres,Pres,1,0
8487-1,"""Systolic blood pressure 8 hour mean""","""Intravascular systolic""",Pres,Pres,1,0
